Title,Location,Company,Salary,Sponsored,Description
Head of Artificial Intelligence,"Montréal, QC",Groom & Associes,None,Sponsored,"Our client is an international telecommunications organization, dedicated to enabling their customers to thrive and prosper.

They are looking for a Head of Artificial Intelligence to head up their dedicated AI lab based in Montreal.

Title: Head of AI
Location: Montreal, QC
Salary: Extremely competitive + benefits package + pension plan

TO APPLY: Please send your resume to Emily at emily.woods@groomassocies.com

As the Head of Artificial Intelligence, you will need to have an advanced understanding of Data Science (DS), Machine Learning and programming, as well as, managerial skills to build a strong local team. You will use your knowledge and/or experience in Data Science methodologies to lead a team of professionals in solving challenging real-world problems as part of a highly dynamic and global team. Working in a highly collaborative environment, where you communicate and plan tasks and ideas, on high impact initiatives in Machine Intelligence to drive growth and economic profitability by accelerating current offerings. Your contribution will also help to create new offerings in the areas of MI driven 4G and 5G network, distributed cloud, IoT and other emerging businesses.

Responsibilities:
Conduct functional and technical analysis within the organization and strategic customers to understand MI-driven business needs and opportunities.
Lead a team for rapid and iterative development of validated minimum viable solution addressing these needs. This includes working with petabytes of 4G/5G-networks, IoT and exogenous data, and proposing/selecting/testing predictive models, recommendation engines, anomaly detection systems, statistical model, deep learning, reinforcement learning and other machine learning systems.
Participate in studies and find creative usage of new and/or existing data sources. Work with Data Scientists and Architects to leverage existing data models and build new ones, as needed.
Build the Montreal-based MI team and manage their work to be in-line with the Global AI Accelerator team’s objectives, plans and assignments.
Collaborate with product development teams and partners to industrialize machine learning models and solutions as part of the offerings including providing source code, workflows and documents.
Work with new technologies and champion them in MI Communities within the organization.
Help to develop new and apply/extend existing, concepts, methodologies, techniques for cross functional initiatives.
Engage with external ecosystem (academia, technology leaders, open source etc.) to develop the skills and technology portfolio for MI’s needs.
Requirements:
MS, or PhD in Electrical Engineer, Computer Science, Artificial Intelligence, Machine Learning, Physics, or related field.
Applied experience: 2+ years of Machine Learning experience in data science.
Proven track-record in management and building highly motivated and results-oriented teams. Ability to work independently with high energy, enthusiasm and persistence.
Extensive experience in model development and life-cycle-management in one or more industry/application domain.
Programming skills in various languages (C++, Scala, Java, R) with proficiency in Python and/or C++
Skills in Machine Learning, e.g., linear/logistics regression discriminant analysis,bagging, random forest, Bayesian model, SVM, neural networks, etc.
Strong skills in the use of current state of the art machine learning frameworks such as Scikit-Learn, H2O, Keras, TensorFlow and Spark, etc.
Demonstrated ability to implement new algorithms and methodologies from leading open source initiatives and research papers addressing their functionalities, scalability and overall industrialization viability.
Experience with Big Data technologies such as Hadoop, Cassandra etc.
Strong knowledge in Statistics, e.g., descriptive analysis and supervised and unsupervised analysis.
Ability to work in a collaborative environment, i.e., working with complex multiple stakeholder business units, global customers, technology and other ecosystem partners in a multi-culture, global matrix organization with sensitivity and persistence.
Good communication skills in written and spoken English and French."
Artificial Intelligence & Machine Learning Specialist – Auto...,"Oshawa, ON",Bartech Group,None,Sponsored,"JOB DESCRIPTION
Job #: 199395

Currently we are seeking individuals for the following position, please take note that this position is time sensitive and we advise you to apply immediately and express your skills and abilities that pertains to the job description.
If you are an experienced Artificial Intelligence and Machine Learning Specialist looking for a position with a leading company, Bartech can help!
***** Opportunity with a top Client in Automotive Industry *****
Artificial Intelligence & Machine Learning Specialist
12 Months Contract (Long Term Contracts, Extension available)
Oshawa, ON
The Opportunity
Being part of the innovation team, you will support activities involving cross-functional teams of engineers.
You will work on diverse range of projects including, Natural Language Processing, Time Series data and Computer Vision.
You will not only be surrounded by experienced AI/ML specialists, but also by Domains experts and AI/ML software leads to complement your work and help push it to production level software.
The latest hardware and software IT support including High Performance Computers will be made available to run seamless training and testing tasks.
We are looking for individuals who can demonstrate innovation, creativity, initiative and a high level of independent judgment.
However, to truly help us in driving the future of technology, you must share a genuine passion for technology and mobility systems.
What We Need You To Do
Write well commented, efficient (memory & processing power) and version-controlled AI related software code (NLP, Image Processing and Time Series Data)
Create internal comprehensive documentation with links to the relevant functions/classes
Collaborate with the product owner and the rest of the team to understand key functional and operational properties of each project
Collaborate on integrating core AI functions into production ready software
Interface with various cross-functional teams to align with global specifications
Stay ahead of the technology curve and in tune with competitive products
Documenting and co-authoring internal technical specifications, and patents


Qualifications
Must have:
Master’s or PhD in Engineering, or related degree; Electrical, Mechatronics, Computer Vision, Computer or Systems Design
0-1+ Years' experience
Familiar with programming in Python (Tensorflow/Keras/PyTorch, etc..) and versioning tools
Expertise in one or more of the following machine learning domains: Image Processing, Computer Vision, Natural Language Processing, Speech/Signal processing
Advanced knowledge in deep learning algorithms
Development skills to rapidly deliver minimum viable products

Preferred:
Experience in data visualization tools and methods (Tableau, Matplotlib, Power BI, etc..)
Knowledge in ensemble and online learning
Experience with SQL and other Database related languages
Familiar with parallel computing using GPUs and Unix based systems
When you join The Bartech Group, an Impellam company you launch a career. Bartech one of North America's largest and fastest-growing staffing firms, continues to elevate the staffing industry to a higher level of thinking. We specialize in Contract and Direct Placement of Engineering, IT, Technical, Professional and Finance & Accounting specialists.
Bartech values diversity and inclusion in its workforce and we invite all applicants to apply. We review all applications and will contact candidates whose skills are best suited for this role. If you are not immediately contacted please note that we will retain your resume for future opportunities."
Millwright,"Vaughan, ON",IMI - A Global People Company,None,Sponsored,"Who We Are:
IMI is a leading provider of labour solutions and workforce management in the material handling sector. With 20 years in the industry, we have established ourselves in the industry by creating great relationships with both our employees and clients.

Our main goal is to provide hard-working individuals with great jobs for some of the most progressive material handling companies in the world – if you can think of a company, we’ve probably worked with them.

Not only has our company grown based on the great work our employees provide for our clients, but we are also always looking for innovative ways to make everyone’s job a little bit easier – whether that be through our developing artificial intelligence or what we offer our employees for their hard work.

We’re hoping you trust us with your career, as it’s just important to us as it is to you.

Who We’re Looking for:
IMI is looking for someone who’s self-motivated and result-oriented for upcoming contracts as an Industrial Mechanic/ Millwright.

We’re hoping you are someone who is mechanically inclined, with a willingness to accept instruction and a variety of new tasks with a positive attitude and a comfortability of working at heights up to 30 feet. With that being said, we hope that most importantly, you have a high degree of safety awareness.

Experience/Education:
The right candidate for this position must have verification of their high school diploma or GED, as well as the following certifications; WHIMIS, Working at Heights, and Health & Safety 4 Steps. Our ideal candidate will also have an Industrial Mechanic or Red Seal trade License and 1-2 years’ experience installing conveyors.

If you suit the above, you could be responsible for:
Assembling various types of mechanical conveyors systems.
Reading blueprints, diagrams, and schematic drawings to determine work procedures.
Using hand tools, power tools, and welding equipment to assemble machinery and equipment prior to installation.
Perform all work in accordance with quality standards and established safety procedures.
Operating hoist or lift equipment such as forklifts, scissor lifts, boom lifts, and cranes.
Install, troubleshoot, and maintain power transmission, hydraulic, and pneumatic systems, and programmable logic controls.
Operate the finished product to test and confirm quality and ensure process and product specifications are met.
Clean and perform routine maintenance checks on industrial machinery.
Worksites can be dangerous, so in order to ensure your safety at all times, we require you always possess a hard hat, steel-toe boots, work gloves, safety vest, and work goggles.

Due to the many responsibilities we are tasking our employees with, we ask they have some or all of the following:

Toolbox or Bag
Tape Measure (metric)
Plumb bob
Rubber mallet
Ball-peen Hammer
Torpedo Level (7-10 inch)
Channel-lock pliers
Band Cutters (tin snips)
3/8 Ratchet set with Standard Sockets ranging from 3/8 to 1 inch (deep well recommended)
Standard Wrench set (metric)
Set of Standard Allen Wrenches
Line Up Pin or Drift Pin (8 to 10 inches long)
Square (small carpenter one)
Additional Job Details:
Work Location: Vaughan, ON
Contract Length: 5-6 Months *end dates are subject to change*
Benefits Offered: Paid Vacation
Full-time/ Overtime Opportunity: Yes
Pay Frequency: Weekly
(C)2019 IMI – A Global People Company

INDDEM"
Machine Learning Programmer Artificial intelligence applied...,"Vancouver, BC",Art Matter Project,$30 - $50 an hour,Organic,"Tutoring position 3 pm to 8 pm a few days a week and Saturdays or Sundays from 1 pm to 5 pm,
English/Mandarin needed.
Position available in November 2019.
Job Type: Part-time
Salary: $30.00 to $50.00 /hour
Experience:
Machine Learning: 1 year (Preferred)
Language:
English (Preferred)
Mandarin (Preferred)"
"Specialist, Artificial Intelligence","Dorval, QC",Air Canada,None,Organic,"Description
Are you passionate about reaching new heights, teamwork and making a meaningful contribution? Do you picture yourself as a valued member of an industry-leading organization? If you answered yes to these questions, Air Canada is seeking enthusiastic individuals to join the diverse and vibrant team working together to lead the growth and expansion of Canada’s flag carrier.

Air Canada is poised to take advantage of the technologies of the future to become the Artificial Intelligence employer of choice in Canada. We plan to be one of the most proactive and ambitious participants in AI Adoption in Canada by 2021.

Are you a visionary, ready to leap into the future? Are you passionate about reaching new heights, teamwork and making a meaningful contribution? Do you picture yourself a valued member of an industry-leading organization? Air Canada is seeking enthusiastic individuals to join the diverse and vibrant team working together to lead the growth and expansion of Canada’s flag carrier.

As a Specialist in Artificial Intelligence at Air Canada, you will drive and support the evolution of the use of Artificial Intelligence solutions within the organization to satisfy the needs of agility and strategic business growth as well as model data to analyze and develop strategic insights that can help make effective decisions and drive growth of the organization. The Specialist, AI, will design and implement

We are looking to fill two positions. A specialist to drive AI Solution design who will be responsible for the design and implementation of a modernized platform, blueprint, framework and an adaptive/flexible set of processes in support of enterprise big data services and advance analytics ecosystem. The other specialist will drive complex AI systems integrations and be responsible for the integration of advance analytics environment in the cloud and design, develop and orchestrate data pipeline from ingestion to consumption/servicing layer.

This position will be reporting to the Manager, Artificial Intelligence

Lead business and technology analysis efforts
Lead requirement and systems analysis efforts, including translating business requirements
Participate on agile teams
Lead business case creation efforts
Lead Planning and monitoring processes for a particular functional area
Provide management with economic impact and compliance issues surrounding key business decisions
Define and maintain methods, techniques and calculations for identifying ways to improve business/technical processes
Establish domain expertise with hands-on integration of advanced analytics solutions
Developing systems integration strategy for complex multi rack product solutions involving compute, network and storage technologies and ingredients across functional teams
Develop technical relationships with different teams across architects
Deliver complete AI platforms to Data Engineers and Data Scientists, to help them build their solutions on top of the platform
Automate systems integration process
Creates integration proof points and communicates them to internal and external audiences.
Apply hands on expertise on designing and implementing advanced analytics environment in the cloud
Work on complex AI solutions to design, develop and orchestrate data pipeline, from ingestion to consumption/servicing layer.
Qualifications
Bachelor's degree or higher in Computer Science, Computer Engineering or equivalent
9-12 years of IT technology, operations and people leadership experience in a large company
Minimum 3 years’ experience in cloud architecture and migration efforts
Deep knowledge of SQL, “Big data” data pipelines, architectures and data sets
Experience working with big data tools: Hadoop, Spark is required.
Experience with Docker containers and Kubernetes architecture is beneficial
Experience in Devops pipeline and ability to automate installation and configuration
Experience in data pipeline and workflow management tools, cloud services, and stream-processing system.
Background in programming in Python, Scala, C, C++, Java is beneficial
Experience working in AI startup environment or organizations with an agile culture
Professional attitude and service orientation; superb team player
Hands-on systems debugging skills to debug critical software, firmware and hardware issues
Certifications in Cloud platforms, Machine Learning, Deep Learning, an asset
Exceptional analytical, organizational and communication skills
Self-motivated and independent worker
Possess investigative nature and be self-motivated
Results oriented with proactive and methodical approach to problem solving
Able to multi-task and work under pressure against tight deadlines and changing priorities
Must be a team player with ability to work closely with diverse groups and working styles
Ability to establish and maintain effective business relationships
Flexibility and willingness to work extended hours, when required
LINGUISTIC REQUIREMENTS



Based on equal qualifications, preference will be given to bilingual candidates.

Diversity and Inclusion
Air Canada is strongly committed to Diversity and Inclusion and aims to create a healthy, accessible and rewarding work environment which highlights employees’ unique contributions to our company’s success.


As an equal opportunity employer, we welcome applications from all to help us build a diverse workforce which reflects the diversity of our customers, and communities, in which we live and serve.


Air Canada thanks all candidates for their interest; however only those selected to continue in the process will be contacted."
IT Analyst/Developer (Business Intelligence),"Ottawa, ON",Canada Revenue Agency,"$71,396 - $87,402 a year",Organic,"For a description of key terms used on CRA job notices, go to Definitions for job seekers.
About the job
The Future is yours! Working in Business Intelligence (BI) you will develop, deliver, integrate, enhance, maintain, and support the operation of Information Technology (IT) infrastructure, products, solutions, and services within BI for the Agency with emerging technologies as they continue to shape how the Agency can advance and deliver digital services to Canadians and support the Agency’s compliance activities. We need BI experts to be innovative and seek opportunities to try new ideas, to adopt new technologies, and to enhance the way the CRA provides services to Canadians. This includes activities, such as:
Explore industry trends and technology with respect to BI capabilities such as AI, Machine learning, Digital first, Cloud, Deep Learning, and more;
Interprets business requirements and determines optimum BI solutions to meet the needs;
Provides technical advice, demonstrations, and presentations to colleagues, clients, and management;
Technical writing;
Enhancement and development of procedures and standards;
Mentoring/training;
Critically evaluating and screening data, plus profiling to identify any issues
Language requirement: English Essential
The pool established from this staffing process may be used to staff similar positions.
To view the complete work description click here: CS0082. If you cannot access the link, you may contact the person/email listed at the bottom of the notice to obtain a copy of the work description.
Come work for the CRA, one of the Top 100 Employers in Canada!
To apply
Persons living in Canada and Canadian citizens living abroad.
Preference for appointment, when the essential staffing requirements are met, will be given to, in the following order :
Veterans;
Canadian citizens and permanent residents.
AND eligible veterans and Canadian Forces members
AND individuals with preferred status who live or work within the general rule of minimum distance of the position(s) being staffed.
Notes:
NO relocation costs will be reimbursed as a result of this staffing process
Virtual reporting is not possible
Please note that this process will be used to staff positions in Ottawa only.
If you are appointed from this process you will be expected to relocate to the location where the position is being staffed.
If you are a candidate from the general public, you will have to pay for any expenses related to your participation in this staffing process, as well as any relocation costs if you receive an offer of employment from this process.
Qualified members and former members of the Canadian Forces who receive an offer of employment are not entitled to relocation costs from the CRA. They may, however, be entitled to a final relocation from the Department of National Defence.
We encourage you to submit your application as soon as possible as the closing date and time on this notice of job opportunity may change.
Essential staffing requirements
To be eligible, you must meet the following requirements.
Education
CRA’s minimum education standard for CS positions
Experience
To be eligible, you must have experience* in:
Creating and/or maintaining technical specifications, design and testing deliverables; and
Development of life cycle of applications (Initiation thru to Deployment);
AND
Have experience in one or more of the following criteria:
Experience* with DataStage conducting Extract/Transform/Load activities and/or,
Experience* with COGNOS tools and/or;
Experience* with SQL and/or;
Experience* developing and maintaining BI solutions;
Experience is normally associated with performance of these functions as part of a as part of their major duties accomplished for a minimum period of 3 years within the last 5 years.
You must upload your education credentials in the education section of your candidate profile and submit all required documents by the closing date and time of this poster. Failure to do so can result in your application not being considered further.
Assessment
Essential
The essential staffing requirements indicated below will be assessed during the process and may be used to identify candidates for positions. Asset staffing requirements may also be assessed during the staffing process and may be used to identify candidates for positions. You will be notified in advance of any asset requirements to be evaluated.
Situational Judgement Test – Recruitment (55/102)
Performance validation
A pass mark of 70% is required for each of the following staffing requirements:
Knowledge of Business Intelligence
Ability to identify and resolve IT problems
Ability to communicate effectively orally
Ability to work with other team members
Dependability
Client Focus
CRA Values and ethics
You are expected to make yourself available for assessment when scheduled. Assessments will only be rescheduled for exceptional circumstances. The staffing board will make these decisions on a case by case basis.
Asset staffing requirements
Experience:
The following experience may be further defined according to one or more of the following:


Complexity (difficulty level of tasks performed);
Variety (number or specific type of tasks performed);
Timeframe (period of time during which the experience took place);
Business Lines of job being staffed (Branch, Directorate, Division, Section and/or workload);
Experience with Artificial intelligence, Machine learning, Data science
Experience using Agile software development methods and practices;
Experience working with business teams and/or other stakeholders to gather and analyze business requirements and propose solutions;
Experience with planning and executing testing activities;
Experience working in a fast-changing environment;
Business Analysis in the context of BI
Qualifications:
Knowledge with Data Modelling;
Knowledge with Database.
Additional Staffing Requirement:
Additional education or training
Duration of appointment
Start date
Employment Equity
Budget Considerations
Conditions of employment
Reliability/Security: Reliability Status
Willing and able to work overtime as required
Willing and able to travel as required
Willing and able to take and successfully complete training as required
Want to know more?
We encourage you to read Important information on staffing at the CRA to find out more about staffing processes and how to apply.

The CRA is committed to building a skilled, diverse workforce reflective of Canadian society. To find out more, consult employment equity, diversity and inclusion at the CRA.

CRA employees support the economic and social well-being of Canadians, and build public trust. We have high expectations, and our employees are held to the standards of conduct outlined in our Code of integrity and professional conduct and Directive on conflict of interest, gifts and hospitality, and post-employment.

Preference for appointment will be given to veterans, Canadian citizens and permanent residents.
Information regarding the status of your application will be communicated via the candidate profile on the CRA Careers site. We strongly encourage you to verify the email address attached to your profile and to check your messages regularly for any updates.
Contact
Name: CS02_ITB_BI / DGI_IA (CRA/ARC)
Email address: CS02_ITB_BI / DGI_IA (CRA/ARC)"
Artificial Intelligence Research Analyst,"Toronto, ON",Impel Infotech,None,Organic,"Responsibilities
Use your artificial intelligence and machine learning expertise to build next-generation customer behaviour models for various lending and deposit products
Leverage large amounts of historical data to model optimization of financial resources
Collaborate with academic partners in Canada and USA on fundamental and applied research in the field of artificial intelligence
Publish their in work academic papers and present it at conferences where the work constitutes significant breakthroughs
The position requires research expertise in one of more of the following areas of artificial intelligence or cognitive science:
Deep Learning (recurrent and convolutional neural nets)
Reinforcement Learning (Markov decision processes, Q-learning)
Natural Language Processing (information retrieval, knowledge representation
Graphical models
We do not require expertise or experience in Financial Industry.
We are always looking..Please e-mail your resume to info@impelinfotechinc.com"
Artificial Intelligence / Machine Learning Specialist,"Oshawa, ON",Comtech Group,None,Organic,"AI / ML Specialist
(Oshawa, ON)
Comtech Group Inc. (Comtech) is a multidisciplinary consulting firm providing professional services in Program and Project Management, Engineering, Technology and Project Capacity Services spanning multiple industry sectors, with offices across North America. With full-lifecycle consulting services from concept through to commissioning, Comtech provides scalable solutions to deliver capital programs and projects, ranging from the management, control and delivery of multi-billion dollar urban rapid transit programs to complex capital initiatives for industrial manufacturers, public utilities and power generators.
Comtech is engaged with Public and Private sector clients within the Transportation & Infrastructure, Industrial & Manufacturing, Energy & Utilities and Buildings & Facilities sectors. Leveraging our comprehensive range of technical, engineering and project management services, we are actively building and nurturing long-term relationships with our clients, employees and the communities we support. In support of our capital programs/projects and continued growth, Comtech is seeking qualified candidates for the position of AI / ML Specialist.
Responsibilities:
Write well commented, efficient memory & processing power and version-controlled AI related software code (NLP, Image Processing and Time Series Data)
Create internal comprehensive documentation with links to the relevant functions / classes
Collaborate with the product owner and the rest of the team to understand key functional and operational properties of each project
Collaborate on integrating core AI functions into production ready software
Interface with various cross-functional teams to align with global specifications
Stay ahead of the technology curve and in tune with competitive products
Documenting and co-authoring internal technical specifications, and patents
Qualifications Required:
Master’s or PhD in Engineering, or related degree, such as Electrical, Mechatronics, Computer Vision, Computer or Systems Design
Experience in data visualization tools and methods, such as Tableau, Matplotlib, Power BI, etc.
Knowledge in ensemble and online learning, as well as experience with SQL and other Database related languages
Familiar with parallel computing using GPUs and Unix based systems
Expertise in one or more of the following machine learning domains, such as Image Processing, Computer Vision, Natural Language Processing, Speech / Signal processing
Advanced knowledge in deep learning algorithms
Development skills to rapidly deliver minimum viable products
Job Type: Full-time
Experience:
programming in Python: 3 years (Required)
as Image Processing, Computer Vision: 1 year (Required)
Tensorflow, Keras, PyTorch: 2 years (Required)
versioning tools: 2 years (Required)
parallel computing using GPUs and Unix: 2 years (Required)
Natural Language Processing, Speech / Signal processing: 2 years (Preferred)
Education:
Master's Degree (Required)"
Machine Learning & Artificial Intelligence Developer,"Winnipeg, MB","LotLinx, Inc.",None,Organic,"LotLinx, the leading automotive AI-powered digital marketing tool, is experiencing tremendous growth and has an exciting opportunity for a Machine Learning & Artificial Intelligence Developer located in our Winnipeg office. LotLinx provides employees a dynamic work environment that is challenging, team-oriented, and full of passionate people. We offer great incentives to our employees, such as competitive compensation and benefits, flex time off, and career development opportunities.

Role details
Reporting to the Director of ML/AI, the Machine Learning & Artificial Intelligence Developer is responsible for the development and deployment of artificial intelligence to campaign management and distribution in the Automotive Digital Advertising industry. LotLinx is looking for a candidate that has talent in applied machine learning to improve, optimize and lead further development of our AI platform.

Requirements [must haves]

Bachelor of Science in Computer Science, Engineering or other related fields
2+ years of software development experience
2+ years of machine learning and/or AI experience
Experience in artificial intelligence, machine learning or related field.
Strong fundamentals in mathematics
Fluent in Java, Python and/or other development languages
Experience with TensorFlow, or other similar software

Responsibilities

Design & development of robust machine learning algorithms
Work with a world-class team of AI researchers and engineers
Apply and utilize current emerging techniques, technologies, and tools
Analyze, design, and determine coding, programming, and integration activities based on general objectives and knowledge of the overall architecture of the product.
Develop and combine complex data analysis techniques and methods
Collaborate and communicate with management
Taking projects from concept to production as efficiently as possible.

About Us
LotLinx is the best in class, AI-powered digital advertising solution for the automotive industry, and Chicago’s fastest growing company in 2018 as awarded by Crain’s Chicago Business. LotLinx uses advanced machine learning technology to help vehicle sellers analyze shopper data, identify high intent purchasers, and execute inventory-specific digital advertising campaigns.
LotLinx is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status.

LotLinx is not currently able to offer sponsorship for employment visa status."
Post-Doctoral (Artificial Intelligence in Finance),"Montréal, QC",Overbond,None,Organic,"About Us

We’re a leading financial technology company in the institutional debt capital markets - the largest capital market globally and the lifeline of finance world - that is laser focused on transforming how global investment banks, institutional investors, corporations and governments can better assess market risks through AI analytics, price discover and obtain real-time market signals. Our team consists of individuals with deep expertise, from both a technical and industry perspective, that are truly motivated by the fact that we are making a significant impact on how global capital markets obtain analytics. We value sharp minds, integrity, high performance, collaboration, and purpose. Our mindset is to innovate and challenge convention. At Overbond, we believe that change is the only constant and that problems are opportunities in disguise.

The Opportunity

This exciting new role is available as part of the Overbond R&D Labs in Montreal. The position is a unique opportunity to build creative solutions for complex problems using cutting edge technology and AI research. As an expert in data science, you will be in charge of the architecture, integration and analysis of large data sets used for developing machine learning models and generating business insights. We are seeking experienced data scientists who are excited about utilizing latest statistical, machine learning, and predictive analytics techniques to transform unstructured data to creative solutions that will have direct impact on the business of our clients.
What You'll Do
Collect, analyze and visualize colossal datasets using a variety of emerging technologies to help solidify our understanding of users and improve product and research decision-making
Design, build and maintain an expanding set of robust predictive models and applications to drive forecast accuracy
Lead data science initiatives to recommend actionable business insights using big data analytics and machine learning techniques
Leverage distributed and open-source computing tools for recommendations, classification, regression, and feature extraction, from logistic regression to matrix factorization, to deep learning neural networks
Prepare detailed documentation to specify data sources, models and algorithms used and developed
Collaborate with the engineering team to deploy models and algorithms in production
Effectively communicate data insights in a non-technical manner to key stakeholders and senior management team
What You'll Need
PhD in relevant disciplines (Mathematics, Computer Science, Statistics, Electrical/Software Engineering)
1-5 years of industry experience in data mining, machine learning and statistical modeling
Solid understanding of the underlying statistical theory and predictive modeling lifecycle
Proven track record of building and demonstrating business value from predictive models and data products
Highly proficient in building statistical and algorithmic models with complex and large data sets such as supervised statistical learning, times-series analysis, regression analysis, data visualization and deep learning
Capability to architect highly scalable distributed systems, using different open source tools
An entrepreneurial mindset, likes working in an agile environment, driven to ship frequently
Excellent communication and interpersonal skills
Team-oriented, pragmatic, self-starting
Likes to learn and grow with teammates in a highly collaborative and open environment
Understanding of, or interest in, finance and investments
What We Offer
The challenge and opportunity of joining an exciting startup company
Opportunity to work on a real R&D scope of work and product
Lots of opportunity for learning and self-development
Ability to contribute in all stages of R&D work and influence product development
Successful candidate(s) will have a truly exciting opportunity to be part of the industry leading financial technology company changing the way how global investment banks, institutional investors, corporations and governments access the capital markets AI analytics. The candidate will work with top notch industry professionals and will be given ample amount of opportunities to learn and contribute."
