Title,Location,Company,Salary,Description,Sponsored
Senior Software Developer - IOT,"Saskatoon, SK",Yardi Canada Ltd.,None,"Yardi Canada is looking for a Senior Java Developer to join our team in Saskatoon, SK. We're building an IoT solution for the multifamily market (apartment and condo buildings) to help get these units up to date with the latest tech available for automation and comfortable living!
We are developing a cloud-based system to make it easy to build applications that communicate with millions of devices. To do this, we make use of numerous technologies, and we always strive to use the right tool for the job. If you have extensive expertise in the following areas and building large scalable systems sounds like the kind of challenge you’re interested in, we’d love to hear from you!
Java, and associated toolchain: Junit, Maven, etc.
REST-based microservices
Distributed systems esp. with Akka and actors
CQRS and Event Sourcing
Docker, Kubernetes, Helm
TDD and clean coding principles
IoT development
It’s a bonus if you have experience with:
Device communication protocols (Z-Wave, Zigbee, BLE …)
Prometheus, Grafana
NATS, Redis, Varnish, Cassandra
Security risk and vulnerability mitigation
As a programmer at Yardi you will work on a tightly knit, cross functional dev team in a friendly open space. Your primary focus will be on backend systems and microservices that work together to orchestrate operations across millions of devices. However, you will also have opportunities to contribute to other aspects of development and be expected to guide and mentor others. The people we work with are as important to us as the work we do. At Yardi you will have the opportunity to get to know your co-workers through social and charity events.
Email your resume to introduce yourself to our team. Only candidates legally authorized to work in Canada will be considered.
---
From a small software startup focused on quality software and customer satisfaction, in four decades Yardi has grown into a global corporation with offices worldwide. The key to our longevity and stature is the importance we place on relationships – both outside and inside the company. Our employees are our most valuable asset. We empower, encourage, and challenge them so that, together, we can provide our clients with the superior products and service they have come to expect. We also believe it is vitally important to contribute to the health and well-being of our community, whether by volunteering time and energy to worthwhile causes or providing financial support to advance humanitarian goals.
Job Types: Full-time, Permanent
Experience:
Java: 3 years (Required)
Akka: 2 years (Preferred)
IoT development: 1 year (Preferred)",Sponsored
Quality Assurance Specialist - IoT Team,"Saskatoon, SK",Yardi Canada Ltd.,None,"Yardi Energy needs a QA Specialist to help our IoT team in Saskatoon bring the latest tech available for automation and comfortable living to the multifamily market (apartments and condos).
Working directly with the development team, you would contribute to the full development life cycle from design through to production deployment. You will work with the Scrum Master to define acceptance criteria, execute test plans and procedures to verify that story development has met that acceptance criteria, and perform release verification testing. You will also help identify common issues and contribute to overall development process improvements.
Our ideal candidate has:
worked on a Scrum team where QA was an integral part of the development process
a keen desire to work side by side with software developers
tested N-Tier web and IoT applications
experience with automated testing
Familiarity with the following is a bonus:
RobotFramework or any other Selenium WebDriver based product
Postman
Jmeter
Java, Junit
Jira for bug tracking
If you want to be part of the team outfitting apartments and condos with the latest automation tech, make a move and send us your resume. Only candidates legally authorized to work in Canada will be considered.
---
From a small software startup focused on quality software and customer satisfaction, in four decades Yardi has grown into a global corporation with offices worldwide. The key to our longevity and stature is the importance we place on relationships – both outside and inside the company. Our employees are our most valuable asset. We empower, encourage, and challenge them so that, together, we can provide our clients with the superior products and service they have come to expect. We also believe it is vitally important to contribute to the health and well-being of our community, whether by volunteering time and energy to worthwhile causes or providing financial support to advance humanitarian goals
Job Types: Full-time, Permanent
Experience:
Java: 1 year (Preferred)
Agile: 1 year (Preferred)
Quality Assurance: 3 years (Preferred)
IoT: 1 year (Preferred)",Sponsored
Intermediate Java Developer,"Regina, SK",Finney-Taylor Consulting Group,None,"Job Description :Our large Regina client is seeking experienced 2 Intermediate Java Developers to join their team for a 1 year contract position.

Must Have Primary Skills :
Must Have Primary Skills :2-3 years of Java experience
Working knowledge of SQL and database design concepts
You should have a BSC. in Computer Science with a major in software development.


Nice To Have Secondary Skills :
Excellent verbal and written communication skills
Detail oriented and self-directed


Proven Experience In :
As noted

IND1
Skills
Software
Must Have at least 4 years of experience with/in Java
Must Have at least 3 years of experience with/in HTML",Sponsored
UI/UX Engineer,"Saskatoon, SK",Bourgault Industries,None,"Bourgault Industries is a leading global manufacturer of technologically advanced seeding and tillage equipment. Our mission is to design, manufacture and distribute the highest quality, most durable and reliable farm equipment in the world that is affordable and meets or exceeds the expectations of our most demanding customers.
We are looking for a talented UI/UX Engineer to join the automation team in Saskatoon, SK. In this role, you will be a core contributor to the architecture and implementation of our front-end/GUI products. The ideal candidate is self-motivated, self-directed, conceptual, passionate about user-oriented design, and welcomes technical challenges.
Responsibilities:
Design and develop graphical user interfaces for mobile and desktop applications
Ensure usability and technical feasibility of UI/UX designs
Analyze and conceptualize new UI/UX products
Integrate and test UI with electronic sensors and control systems
Communicate with other teams (purchasing, manufacturing, service, etc.) for new product integration.
Communicate with dealers and customers for feedback and input on product.
Occasional travel to main production facility in St. Brieux.
Occasional travel to various test locations.
Qualifications:
Degree in Software Engineering, Computer Science or related field, with applicable background
4+ years of proven work experience on desktop and mobile applications
2+ years working with an IOT cloud service such as Azure IoT
Experience with cross platform UI development frameworks such as Xamarin or Qt
Capable of assembling user-oriented UX designs and implementing them as functional UI
Strong software development skills (C#, Java, Objective-C, Javascript, C/C++, Python)
Ability to independently develop software development plans, including timelines and test procedures
Understanding of software architecture and lifecycle
Strong organizational skills and an ability work independently or within a team
Effective interpersonal and communication skills
Ability to think critically and analytically
Enjoy getting your hands dirty and work in an environment that supports being self-directed!
Bonus Qualifications:
Knowledge and passion for the agricultural industry
Familiar with hydraulic control, electric motor control and displays
Embedded software development experience
Experience with GUI-based instrumentation panels
Bourgault Industries offers competitive, performance-based salaries, company-wide profit sharing, health & dental benefits, a company-matching RRSP plan, and more! At Bourgault Industries, we recognize the importance of our team members and their personal and career development.
If you’re looking to make a difference with a company that values your hard work and innovation, apply now!
Please Note: all applications must be submitted on our website (www.bourgault.com). Thank you!
Job Type: Full-time
Experience:
desktop and mobile app: 4 years (Preferred)
IOT cloud: 2 years (Preferred)
Education:
Bachelor's Degree (Required)",Sponsored
Java Developer,"Regina, SK",Finney-Taylor Consulting Group,None,"Job Description :Our client in Regina is seeking an experienced Intermediate Java Developer to join their team for a 1 year contract.

Must Have Primary Skills :
Bachelor's degree in computer science, computer engineering, computer information systems, an engineering discipline, or a related field 5+ years of Java experience Java EE experience
UI experience using JSF 2.1
Unit testing using JUnit
Working knowledge of SQL and database design concepts


Nice To Have Secondary Skills :
Familiarity with developing TMForum SID based applications
Familiarity with telecommunications networks and devices.
Knowledge of Agile SCRUM development methodology
Specific experience with JBoss JBPM and/or Drools


Proven Experience In :
Ability to read software requirement documents and produce technical specifications
Debugging and analysis skills for problem solving
IND1
Skills
Software
Must Have at least 5 years of experience with/in WebSphere
Must Have at least 5 years of experience with/in Java",Sponsored
Java Developer,"Saskatoon, SK",SkipTheDishes,None,"Think you have what it takes to join an elite team of software developers, engineers, and data scientists? If you want to make your mark on a national brand’s industry-leading technology, Skip’s Engineering Team is the place for you. They drive the innovation of Skip’s platform by improving the reliability, performance, and scalability of the network. GPS tracking, real-time order processing, scheduling, and balancing are just a few of the pieces the Engineering Team integrates into Skip’s world-class service.
How we work:
We take ownership of our work and work closely with our team
We move quickly, take risks, and know how to manage the risks
Regularly refactoring to improve our existing systems — technical debt isn’t an excuse
Unit tests and code reviews are at our core — confidence in our pull request is the result
We constantly push our app’s technology, design, and architecture forward to meet new challenges
We face challenges no one can predict — we meet them head-on as a team
When we have an idea that serves a need, we run with it
Our teams are kept tight and efficient
What will help you succeed:
Bachelor's degree in Computer Science or Software Engineering
Strong software engineering fundamentals, including data structures, design patterns, testing, and debugging skills
Familiar with Jenkins, JIRA, Git, IntelliJ or other software development cycle tools
Solid understanding of consuming, producing, and designing RESTful web services
Exceptional knowledge of Java, especially Java 8
Passion for engineering practices such as TDD, pair programming, and code reviews
Familiarity with automation technologies and a good understanding of principles around continuous delivery, deployment and integration
Work with data persistence in relational, NoSQL, unstructured and/or cached forms
What it’s like to work at Skip:
At Skip, you have the opportunity to work with industry-leading technology in a dynamic, entrepreneurial environment. You can take part in building a major Canadian tech company that is growing every day — and you can grow with it. We will work with you to find your limits, and then help you surpass them. The more you contribute, the further you’ll go. Since establishing our Winnipeg headquarters in 2012, Skip has grown from less than 20 staff to a national brand with more than 1800 employees and processing millions of orders each month.

Note: All employees will be asked to sign a Consent for Disclosure of Personal Information in order to complete a background check. Job offers will be conditional upon results that the Company determines to be satisfactory.",No sponsored
"Software Developer, Production Support","Saskatoon, SK",Benevity,None,"Benevity is adding a Software Developer, Production Support to our Application Support Team in Calgary. We are looking for someone who loves investigating, troubleshooting, and solving issues affecting our Java-based products on production environments.
Many of the world’s most iconic brands rely on Benevity’s award-winning cloud solutions to power corporate “Goodness Programs” that attract, retain and engage today’s diverse workforce by connecting people to the social causes that matter to them. We’re a fast-paced software company in the business of doing good.
What You Will Do
Investigating incorrect behavior and other “weirdness” in our products running on production environments.
Writing and testing correction scripts to repair corrupted data.
Developing new features to enhance audit and logging functionality
Actively discussing and working with the team on issues related to productivity, process, workflow, and quality.
What You Will Bring
Computer Science basics (Ex: data structures and algorithms; describe the performance/complexity of an algorithm).
Working knowledge of Java.
Working knowledge of SQL (preferably MySQL)
Experience working in an Agile environment.
Comfortable working in a Linux command-line environment
Various current technology trends and concepts.
What You Can Expect
Challenging technical problems
Appropriate autonomy to balance the needs of the business with the expectations of your personal life
The tools you need like a new MacBook, 27"" monitor, sit/stand desk, and all the sticky notes you want. Offices equipped with video conference rooms, whiteboard walls, and collaboration spaces
An environment where constant learning is the norm
$2,500 per year in charitable donation and volunteer matching through our giving program
Some Benevity Highlights
A dog-friendly office
We solve problems that matter
Flexible schedules and working location
Our development and agile culture is always evolving
Your teammates have hearts of gold and brains to match
Our Commitment to a Diverse Culture
We believe in the power of diversity, and we’re dedicated to creating a diverse, equitable, and inclusive environment at Benevity. We ensure equal opportunity for all applicants and encourage people of all visible minorities, including Indigenous applicants, and those of any religion, sex, age, ability, sexual orientation, gender identity or expression to apply.
A Place for all Genders in Tech
Gender diversity and equality benefit everyone. We’re committed to supporting all gender identities and expressions in tech by sharing stories and advocating for equality. We’re also proud to partner with forward-thinking organizations like Chic Geek and Next Gen Men, who continue to build a more vibrant, inclusive, and diverse technology landscape.
While we sincerely appreciate every application received, only those candidates selected for an interview willing to relocate to Calgary will be contacted.",No sponsored
Junior IT Specialist,Saskatchewan,IBM,None,"Introduction
.

Your Role and Responsibilities

Your role and responsibilities

Application Developer with Java or scripting languages knowledge who will be working on maintenance and further development of already existing applications
Automation Tester writing tests using various software-testing frameworks (e.g. JUnit, Mockito, Cucumber, Selenium)

Our team is a balanced mixture of younger and experienced IT Specialists with a national and international background. Senior team members are prepared to share their knowledge and experience with you, and to teach you how you can work and think from a pragmatic and result-oriented view. The ideal candidate must display good written and oral skills with demonstrated interpersonal and organization abilities and must be able to work in a varied, fast paced environment.

You can work from Bratislava or Kosice.

What would be your responsibilities?

The individual will be responsible for developing, implementing, maintaining and supporting or testing Java based components and interfaces and have a broad understanding of various coding methodologies, testing practices, and tools and know when to apply each method to achieve the desired outcomes



What do you need for your success?

Knowledge of Java or scripting languages OR experience with automation testing
Adaptable and able to pick up new technologies and design techniques
Self-motivated, detail oriented and organized
Team player
Good communication (oral and written), interpersonal, organizational, and presentation skills
Bachelor’s Computer Science, MIS or related experience required


What can you expect of us?

Salary starting from 1350 EUR gross, depending on relevant experience and language proficiency - however, the more you know (German, Java, J2EE/Spring, relational/noSQL databases, projects etc. etc.), the more you will get
Annual performance bonus payment
Performance evaluation on regular basis
Subsidized meal-tickets
Flexible working time and home office
Three additional vacation days
Up to three self-recovery days
100% sick leave compensation
Life insurance and supplementary pension savings program
Private medical sanatorium
Long term career development and possibility of internal rotation
Classroom based trainings and 5000 e-learning courses – both internal and external
Certification programs
Online learning platform and digital library
Recommend-a-Friend – get a bonus in the employee referral program
MultiSport card
Special IBM discounts













Required Technical and Professional Expertise
.

Preferred Technical and Professional Expertise
.

About Business Unit
.

Your Life @ IBM
.

About IBM
.

Location Statement
For additional information about location requirements, please discuss with the recruiter following submission of your application.

Being You @ IBM
IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status.",No sponsored
Java Developer - Regina,"Regina, SK",ARC Business Solutions,None,"ARC Business Solutions Inc. is an established and customer-oriented information technology solution provider with proven abilities to incorporate strategy, creativity and technical aspects into business solutions. ARC operates out of 4 regions in Canada–Edmonton, Calgary, Toronto and Regina and in the US – and services a broad base of private and public sector clients. Service delivery is focused in five main technology solution verticals: Systems Delivery, Enterprise Information Management, Mobile Solutions, Training and Managed Services; with industry expertise in Energy, Utilities, Government, Financial Services and the Public Sector.

ARC Business Solutions Inc. is currently seeking individuals with experience as a Java Developer for opportunities with clients in Regina.

The successful candidates must possess demonstrated experience in the following areas:

MANDATORY:

BS/MS in computer science/computer engineering or 4 years of related work experienced combined with a 2 year diploma in a computer systems related discipline from a recognized post-secondary institute.
2+ years of experience developing REST services
Strong working knowledge of Java
1+ years experience building or working with RESTful web services via JSON or XML
Experience with the entire Software Development Life Cycle (SDLC)
Experience with unit testing, regression testing and good understanding of CI/CD
Experience working with relational database technologies utilizing SQL syntax
Solid communication skills: Demonstrated ability to explain complex technical issues to both technical and non-technical audiences
Strong understanding of the Software design/architecture process
Experience with system to system integration (Web Services, RESTful) would be considered an asset.
Demonstrated proficiency in written communication.
Demonstrated planning and organizational skills.
Demonstrated ability to quickly learn business applications.
Demonstrated analytical and problem-solving skills.
Good customer service and communication skills. Must be comfortable interacting with clients.

We offer a competitive salary, profit sharing, share options and a comprehensive benefits package. These positions can be filled by full time ARC employees or contractors.

We thank all applicants for their interest; however only candidates considered for interviews will be contacted. We will be conducting interviews immediately. TO BE CONSIDERED -Please forward your resume clearly displaying reference number MDO:JD in the subject line to hr@arcbus.com.",No sponsored
Quality Assurance Specialist,"Saskatoon, SK","Yardi Systems, Inc.",None,"Yardi Energy needs a QA Specialist to help our IoT team in Saskatoon bring the latest tech available for automation and comfortable living to the multifamily market (apartments and condos).
Working directly with the development team, you would contribute to the full development lifecycle from design through to production deployment. You will work with the Scrum Master to define acceptance criteria, execute test plans and procedures to verify that story development has met that acceptance criteria, and perform release verification testing. You will also help identify common issues and contribute to overall development process improvements.
Our ideal candidate has:
worked on a Scrum team where QA was an integral part of the development process
a keen desire to work side by side with software developers
tested N-Tier web and IoT applications
experience with automated testing
Familiarity with the following is a bonus:
RobotFramework or any other Selenium WebDriver based product
Postman
Jmeter
Java, Junit
used Jira for bug tracking
If you want to be part of the team outfitting apartments and condos with the latest automation tech, make a move and send us your resume. Email Saskatoon.DEVcareers@yardi.com to introduce yourself to our team. Only candidates legally authorized to work in Canada will be considered.
From a small software startup focused on quality software and customer satisfaction, in four decades Yardi has grown into a global corporation with offices worldwide. The key to our longevity and stature is the importance we place on relationships – both outside and inside the company. Our employees are our most valuable asset. We empower, encourage, and challenge them so that, together, we can provide our clients with the superior products and service they have come to expect. We also believe it is vitally important to contribute to the health and well-being of our community, whether by volunteering time and energy to worthwhile causes or providing financial support to advance humanitarian goals.",No sponsored
