Title,Location,Company,Salary,Description,Sponsored
Land Group Contract Administrator,"Saskatoon, SK",Catterall & Wright Consulting Engineers,None,"We’re looking for a full-time Contract Administrator to manage construction contracts and project closeout for projects within the land group. Projects will include a wide variety of civil engineering projects with focus on land development, drainage, roadwork, lagoons, landfills, and miscellaneous infrastructure focused projects.

About Us

Catterall & Wright was established in Saskatoon in 1965 by Fred Catterall, P.Eng. and Don Wright, P.Eng. and continues to offer professional civil engineering services to municipalities, land developers, architects, contractors, government agencies, First Nations, and industries in Saskatchewan. Both Fred and Don promoted being a team player, maintaining high standards, taking pride in your work, and providing customers with good design at reasonable cost; principles we continue to exhibit today. Our firm specializes in municipal engineering design related to commercial, industrial and residential land development; street, roadway and drainage design; storm water, potable water and wastewater systems; transportation, asset management, landfills and solid waste transfer stations.

Our firm employs a growing full-time staff of 24 with seasonal staff joining our team as needed. The key to our long-term relationships with clientele is our ability to provide clients with reliable, quality personal service. We are a small, locally owned business and take great pride in the relationships we maintain with our clients. The strength of the team is our carefully selected staff members; we are a mix of experienced senior engineers, intermediate and junior support staff who are well versed in current engineering technology and analytical software.

Our partners and staff strive to provide courteous, personal service with unique and innovative solutions for all municipal infrastructure systems. We are dedicated to providing civil engineering services with our technical expertise including design, planning, feasibility studies, detailed equipment and construction specifications, field layout and observation during construction, contract administration, and project management.

OUR MISSION

To provide personalized engineering services to municipalities, government agencies, developers, First Nations, and other industries. The strength of our team is our people who are committed to providing the right solutions.

OUR VISION

To be the most respected and trusted engineering firm in our industry.

OUR VALUES

We strive to be: Reliable, Honest, Practical & Trustworthy.

But enough about us, what about YOU?
YOU will have the opportunity to become part of an exciting, successful company that currently employs approximately 24 full-time staff including 10 Engineers.

YOU will utilize your experience in a variety of different aspects within the industry by being exposed to the many facets of what the industry has to offer instead of focusing on one specific task.

YOU will have the opportunity to work with a company that aspires to be THE most RESPECTED and TRUSTED municipal engineering firm in our industry.
YOU will become part of a team who values being HONEST, RELIABLE, TRUSTWORTHY, and PRACTICAL.

YOU will have the opportunity to work with a vibrant and youthful company that truly cares about its employees and understands the importance of work-life balance. We have a fantastic social committee that plans and organizes our staff BBQ’s, golf or lawn bowling tournaments, games nights and many other events that our social committee organizes for us.

Position Core Responsibilities

Prepare CCDC construction contracts with successful contractors.
Apply for all necessary permits required prior to commencing construction (Water Security Agency permits, highway crossings, aquatic habitat protection, railway crossing, SaskWater, TransGas, SaskEnergy crossings, etc)
Prepare progress certificates and associated documentation.
Prepare proposed change notices, change orders, site instructions or other on-going contract documentation.
Prepare deficiency lists in conjunction with project managers.
Correspond and stay connected with project managers.
Prepare certificate of substantial performance, construction completion certificates and final acceptance certificates.
Track warranty inspection timelines.
Track record drawing production and issuance to required authorities.
Archive completed project files.
Other Responsibilities

Understand completely all company policies, filing procedures and goals of the Land Group and company.
Assist Office Manager / Administrator with other duties in their absence including answering phone calls, mail document preparation, managing Sharefile, and other tasks as required.
Assist with Development and Services agreement preparation.
Liaise with developers and municipalities.
Assist with development of project management standards.
Abilities

Understanding of lien legislation and CCDC 2 and CCDC 18 construction contracts.
Thorough and methodical, yet efficient to ensure quality product is produced.
Effectively manages time and can tend to several projects concurrently.
Attitude & Values

Loyal team player capable of dealing with multiple types of personalities.
Honest and assertive to help uphold the integrity of the team and company mission, vision and values.
Sense of practical design.
Displays reliable and trustworthy presence and strong work ethic.
Acts honestly and assertively to help uphold the integrity of the team and company mission, vision and values.
Accountabilities

Proficient with Microsoft Office, BlueBeam and Adobe InDesign software programs.
Treats all information and materials in a confidential manner.
Communicates issues of importance or concern to the immediate supervisor in a timely manner.
Understands completely all company policies, filing procedures and goals of the Land Group and company.
Understands and follows company safety manuals, project standards manuals and overall office manual.
Delivers quality work in an efficient manner.
Collaborates with others as required to complete assignments and support team efforts. Works to resolve conflicts and maintain harmony among co-workers.
Sets priorities for own work and meets deadlines.
Salary & Benefits

Exceptional employee benefit plan includes life and disability insurance, extended health and dental care plus an extended health spending account.
Excellent company RRSP contribution program.
Competitive salary based on industry experience, technical requirements of the position.
We also provide significant annual bonus packages based on performance, motivation, quality, and ability.",Sponsored
Junior Developer - Professional Services,"Saskatoon, SK",Coconut Software,None,"Department: Development
Summary
Junior Developers are independent, resourceful, and enjoy working as part of a team to learn and constantly look for ways to improve the company’s software. In this role, Junior Developers work on a system that facilitates connections between businesses and their customers, through a combination of appointments, lobby queuing, and third-party integrations. Additionally, this role actively and excitedly takes part in various discussions surrounding design, code reviews, and best practices.
Primary Responsibilities
Enjoys working hands-on
Enjoys working with web-based applications
Strong interest in resolving technical challenges related to calendaring
Self-driven and highly motivated to deliver incredible solutions with minimal guidance
Adapts quickly to changes in business requirements
Define, design, and implement object-oriented distributed software applications.
Stay current with trends, techniques, technology and other factors impacting the job.
Collaborate, Collaborate, Collaborate!
Actively participate in team meetings and offer recommendations/ideas on design projects.
Technical Qualifications
BS/MS in Computer Science or equivalent
Excellent communication skills
Experience writing/working with REST and associated technologies (JWT, JWE, JSON-API, etc)
Experience in object-oriented programming, preferably (but not restricted to) PHP
Experience in server-side software development (Laravel)
Experience with front end technologies such as javascript (React, Redux, Axios) and CSS/SASS
Experience working with command-line interfaces
Understand the concepts behind/practice with TDD
Interest in docker, Kubernetes, and other container technologies
Interest in utilizing best practices when building integrations to third party systems
Interest in developing a security-first mentality
MariaDB (MySQL) experience
Who Is Coconut Software?
Coconut Software is a fast-paced, venture-backed Enterprise Appointment Scheduling platform with offices in Toronto and Saskatoon with the mission to innovate and elevate the appointment scheduling experience for enterprises and their customers.
Join a talented and motivated team who love the idea of being on the launch pad of a start-up and have the passion and drive to inspire and execute - all in a work environment where culture and ""doing it right"" matter.
Mission
Modernizing how Banks and Credit Unions engage because everyone’s time is money.
Values
Collaboration. Honesty. Empathy. Elevate. Respect. Sharing.
Perks
Health & Dental Benefits
Fitness Centre
Weekly Catered Lunches
Flextime
Employee Stock Option Purchase Plan (ESOP)
Apple Equipment
Parking Allowance
Social Committee Activities
Professional Development
Amazing Holiday Parties
Additional Time Off at Christmas
A People-First Company",No sponsored
Junior Developer,"Saskatoon, SK",Coconut Calendar,None,"Who is Coconut Software?
Coconut Software is a fast-paced, venture backed Enterprise Appointment Scheduling platform with offices in Toronto and Saskatoon with the mission to innovate and elevate the appointment scheduling experience for enterprises and their customers.
Join a talented and motivated team who love the idea of being on the launch pad of a start-up and have the passion and drive to inspire and execute - all in a work environment where culture and ""doing it right"" matter.
Summary
Junior Developers are independent, resourceful, and enjoy working as part of a team to learn and constantly look for ways to improve the company’s software. In this role, Junior Developers work on a system that facilitates connections between businesses and their customers, through a combination of appointments, lobby queuing, and third party integrations. Additionally, this role actively and excitedly takes part in various discussions surrounding design, code reviews, and best practices.
Primary Responsibilities
Enjoys working hands on
Enjoys working with web based applications
Strong interest in resolving technical challenges related to calendaring
Self-driven and highly motivated to deliver incredible solutions with minimal guidance
Adapts quickly to changes in business requirements
Define, design, and implement object-oriented distributed software applications.
Stay current with trends, techniques, technology and other factors impacting the job.
Collaborate, Collaborate, Collaborate!
Actively participate in team meetings and offer recommendations / ideas on design projects.
Technical Qualifications
BS/MS in Computer Science or equivalent
Excellent communication skills
Experience writing / working with REST and associated technologies (JWT, JWE, JSON-API, etc)
Experience in object-oriented programming, preferably (but not restricted to) PHP
Experience in server-side software development (Laravel)
Experience with front end technologies such as javascript (React, Redux, Axios) and CSS/SASS
Experience working with command line interfaces
Understand the concepts behind/practice with TDD
Interest in docker, kubernetes, and other container technologies
Interest in utilizing best practices when building integrations to third party systems
Interest in developing a security first mentality
MariaDB (MySQL) experience
Mission
Modernizing how Banks and Credit Unions engage because everyone’s time is money.
Values
Collaboration. Honesty. Empathy. Elevate. Respect. Sharing.
Perks
Health & Dental Benefits
Fitness Centre
Weekly Catered Lunches
Flex time
Employee Stock Option Purchase Plan (ESOP)
Apple Equipment
Parking Allowance
Social Committee Activities
Professional Development
Amazing Holiday Parties
Additional Time Off at Christmas
A People First Company",No sponsored
JUNIOR NETWORK TECHNICIAN,"Saskatoon, SK",ESTI Consulting Services,None,"ESTI is looking for a Junior Network Technician (Industrial IoT, Wireless and Core Networks) to join our team in Saskatoon, SK!
The network technician designs, deploys, troubleshoots and supports network solutions for a wide array of clients as part of the advanced network team. Communications and teamwork skills are essential for an array of the sectors we work in, which includes mining, telecom, health care, government, utilities, education, research, and financial.
ESTI helps clients build technology solutions. We’re software developers, systems and network architects, and project delivery specialists. Our employees enjoy the benefit of a small, agile company, focusing on quality over quantity.
We need a network technician who can adapt to client needs, and be willing to work away from a desk, in some unique situations.
You’ll work alongside someone experienced in this role, and learn from them. You will experience a wide variety of technologies and build your abilities, with lots of training opportunities to learn as quickly as you are able.
ESTI Consulting Services is a fast paced environment. Our high performing employees thrive on challenging but rewarding work. The successful applicant must be able to adapt to various client needs, and be willing to work past the typical 37.5 hour week, 8:30-5:00 day, as necessary. ESTI will provide you with the resources you need to be successful in this position.
This position would reside in Saskatoon, SK.

** Local experience is a preferred asset, but we are always interested in individuals from across Canada. While international experience can be an asset, we require candidates to have Canadian work experience, and currently reside in Canada. **
What will you do?
Configure routers, switches, firewalls, and wireless radios
Prove quickly that the network isn’t at fault or fix it in the unlikely event that it is broken
Carry a laptop and a tool bag
Survey wireless coverage with a map on a laptop
Pass drug tests and WHMIS training required by our clients
Understand how applications run on IP networks
Learn evolving Cisco, VMware, Dell and Palo-Alto technologies
Rack and cable gear in climate-controlled data centers
Rack and cable gear underground beside a jeep, or inside an industrial boring machine
Virtual set up and configure of gear in AWS, Azure, or GCP
Stay safe, wear a hard hat, steel toe boots, and reflective coveralls, depending on the client site
Learn quickly, during office hours, and on your own
Accurately track how much time you spend on a project each day
Travel occasionally, typically within western Canada
Get to know how to keep mill and mine controls working safely and separately on the same network as millions of emails and wireless phone calls
Qualifications and Skills:
0-3 years in a related role
Diploma, Degree or Certification in a related program
CCNA/CCNP in routing and switching or wireless, or CWNA would be considered an asset
A basic understanding of IP routing and switching theory, TCP/UDP protocol operations, L2 frame and L3 packet forwarding, etc.
Today we work with:
Cisco routing and switching platforms, including ISR and ASR routers, and Catalyst, Nexus, and Industrial Ethernet switches. Cisco ASA firewalls, Cisco UCS and Cisco wireless LAN controllers
OSPF, EIGRP, and BGP
Cisco Meraki MX, MS, and MR
Cisco ISE and multiple RADIUS flavors for remote access VPN and wireless authentication
So many VPNs
Ekahau site survey
Palo-alto networks
VMware NSX and Cisco ACI
Velocloud, Meraki, and Viptela SD-WAN
Industrial protocols such as MODBUS, PROFINET, CIP, BACNet running on IP networks
A team including a CCIE and CWNE, a CCNP-any-day-now, VMware and EMC experts; AWS and Oracle specialists, PMPs and SCMPs.
We enjoy:
A responsibly flexible environment
Investment in training. If you can learn, we have courses to teach you new skills
Total compensation package well above industry average
No managed services, and no on-call responsibilities
A health-care spending account.

We are an Equal Opportunity employer. If this opportunity fits who you are, and what you are capable of, we strongly encourage you to apply. Please submit your cover letter, resume, and contact information on the form below, or email hr@esti.ca",No sponsored
Junior Developer - Professional Services,"Saskatoon, SK",Coconut Calendar,None,"Who is Coconut Software?
Coconut Software is a fast-paced, venture backed Enterprise Appointment Scheduling platform with offices in Toronto and Saskatoon with the mission to innovate and elevate the appointment scheduling experience for enterprises and their customers.
Join a talented and motivated team who love the idea of being on the launch pad of a start-up and have the passion and drive to inspire and execute - all in a work environment where culture and ""doing it right"" matter.
Summary
Junior Developers on the Professional Services team at Coconut Software are independent, resourceful, and enjoy working as part of a team to learn and constantly look for ways to improve our software. The Junior Developer, Professional Services works on a system that facilitates connections between businesses and their customers, through a combination of appointments, lobby queuing, and third party integrations. Additionally, this role actively and excitedly takes part in various discussions surrounding design, code reviews, and best practices. The Professional Services team strives to maintain a high level of customer satisfaction by assessing customer technical needs and capabilities during onboarding and acting as technical consultants, providing sound recommendations to ensure successful activation and use of the software.
Primary Responsibilities
Enjoys working hands on
Enjoys working with web based applications
Strong interest in resolving technical challenges related to calendaring
Self-driven and highly motivated to deliver incredible solutions with minimal guidance
Adapts quickly to changes in business requirements
Defines, designs, and implements, multi-tiered object-oriented distributed software applications.
Stays current with trends, techniques, technology and other factors impacting the job.
Actively participates in team meetings and offers recommendations / ideas on design projects.
Actively engages customers looking to integrate existing solutions into our software.
Provides technical expertise, assessing customer’s technical needs and capabilities during onboarding.
Reduces technical hurdles or restrictions customers may face during adoption, resolving issues related to activation and implementation of software.
Engages customers to plan and validates solutions specific to the customer and their business.
Technical Qualifications
BS/MS in Computer Science or equivalent
Excellent communication skills
Experience writing / working with REST and associated technologies (JWT, JWE, etc)
Experience in object-oriented programming, preferably (but not restricted to) PHP
Experience in server-side software development (Laravel, CakePHP)
Experience with front end technologies such as javascript (React, Redux) and CSS
Experience working with command line interfaces
MariaDB (MySQL) experience
Mission
Modernizing how Banks and Credit Unions engage because everyone’s time is money.
Values
Collaboration. Honesty. Empathy. Elevate. Respect. Sharing.
Perks
Health & Dental Benefits
Fitness Centre
Weekly Catered Lunches
Flex time
Employee Stock Option Purchase Plan (ESOP)
Apple Equipment
Parking Allowance
Social Committee Activities
Professional Development
Amazing Holiday Parties
Additional Time Off at Christmas
A People First Company",No sponsored
"Software Developer (Python, Linux, Git)","Saskatoon, SK",Mentor Graphics,None,"We are looking for talented software developers (Python) to join our technical team at the Saskatoon research & development site of Mentor, A Siemens Business. We develop leading-edge chip design software that is used by some of the world’s largest technology companies.
At Mentor, we develop custom software to solve problems in circuit verification, design automation, and other specialized fields within the semiconductor industry. Solutions are found through approaches such as machine learning, statistical analysis, and advanced (and patented!) techniques. You will be working at the cutting-edge of software development with industry-leading customers at one of the largest companies in the world.
This position is located in brand-new and state-of-the-art offices at Innovation Place in Saskatoon, SK, Canada.

Job Duties:
Use Python to develop software that addresses some of the world’s most challenging problems.
Work with our top-notch technical team, here in Saskatoon and around the world, to ensure our leading electronic design automation software products evolve to meet the changing expectations of our customers.
Collaborate directly with technology experts at major semiconductor companies to define, develop, and deliver new products and product features.

Job Qualifications:
Demonstrated ability to effectively develop high-quality software in a collaborative environment.
Demonstrated expertise in some or all of the following: Python, Linux, testing, source control (Git), algorithms, debugging, profiling, GUI design (Qt)
Excellent communication skills (both written and verbal) demonstrated through software documentation (commit messages, docstrings, etc), collecting customer requirements, and communicating with team members.
A team player; an ability to provide and be receptive of constructive feedback (through code reviews, design iteration, verification process) and to provide mentorship to junior developers.
Customer-focused; ability to prioritize tasks based on customer experience and ROI.
Willingness to learn and interested in new challenges.
Nice-to-have expertise: C++, statistics (Monte Carlo analysis), test automation, transistor-level circuit design, EDA CAD tools, SQL, and release management.
Back Share
Apply Now",No sponsored
Software Developer - Web UI,"Saskatoon, SK",Farmers Edge,None,"Software Developer Web UI

Offices in Winnipeg, MB Corporate Office, Lethbridge, AB, and Omaha, NE. Remote location will be considered.
Number of Positions: 4 2 Senior level / 2 Junior-Mid level

As a Software Developer on the Web User Interface team you will join a team responsible for developing and maintaining several web-based software systems and services. This team strives to create scalable, and optimized solutions to provide our users with safe and efficient access to our online services.
What you'll be doing:
Creating intuitive and visually appealing user interfaces;
Gathering information through interviews, focus groups, online research, etc.
Participating in daily planning activities such as Scrum meetings;
Writing software that consumes data from a RESTful API;
Working individually and cooperatively with a team;
Documenting internal and external source code;
Implementing and/or utilizing testing solutions;
Troubleshooting and problem solving;
Participating in internal management meetings;
Other duties as assigned.

What you'll need to Succeed:
The ideal candidate would have post-secondary degree in Computer Science and prior experience in Software Development or a related technology field.
Senior Developers: 5 10+ Years of professional software development experience;
Modern Front-End Web development & functional programming paradigms;

Would love to see:
Comfortable working in both a cooperative environment and independently on assigned tasks;
Creative, motivated, resourceful and passionate;
Strong communication & troubleshooting skills;
Previous experience with web focused development;
Modern Front End Mobile development;
Native Android or iOS development Swift, Obj-C;
React / Redux / React-router / Redux-sagas / Reselect / Leaflet / React-leaflet;
ES2015+ ES6 JavaScript syntax or TypeScript;
Common tools like webpack, npm;
Testing frameworks e.g. Jest;
Revision control software e.g. Git/Github;
Agile tools e.g. Jira;

What you'll get:
Flexible working hours;
Competitive compensation;
Extensive benefits package;
Employer matched DPSP retirement plan;
Enterprise level experience with complex systems and technically challenging work.",No sponsored
Software Developer - DevOps,"Saskatoon, SK",Farmers Edge,None,"Match your skills to a career where you're not just doing a job; you're making an impact every single day.
At Farmers Edge, we're addressing the global challenge of feeding the world's growing population while reducing environmental impact. We're a diverse group of thinkers and doers, motivated by challenges, curiosity and bold ideas. Our culture is the foundation of our company, connecting innovation and disruption with the passion that drives us. From the software and digital tools that we create to the conversations we share; the collective force of our team is influencing revolutionary changes in agriculture to bring new levels of sustainability and opportunity to farmers and agricultural professionals.
Rapidly expanding worldwide, we're focused on creating a diverse environment of talented individuals. Working with high-quality data sets, cloud connectivity, AI-driven algorithms and predictive models across web, mobile and app platforms, we offer a range of roles in multiple locations where you can build impactful, data-driven experiences and feel empowered to make a difference.
Join us to work with a company whose team is as innovative as its products. Together, we can make the impossible, possible.
Software Developer DevOps

Offices in Winnipeg, MB Corporate Office, Lethbridge, AB, and Omaha, NE. Remote location will be considered.
Number of Positions:
2 Senior Level
1 Entry Level

As a DevOps Software Developer, you will join a team responsible for launching, provisioning, and maintaining cutting edge technologies on hundreds of cloud-based servers to deploy a variety of projects. The primary focus will be to maintain and expand our cloud environment, and deal with issues of deployment, scalability, security, and backup/failover.

What you'll be doing:
Work with leading edge technologies such as Kubernetes, Helm and Docker;
Implement, maintain, improve, and document cloud infrastructure that encompasses hundreds of servers across a variety of environments;
Support deploying, maintaining, and troubleshooting changes to projects and infrastructure;
Use and build automation tools to improve the stability & efficiency of development and production environments;
Develop, test, and maintain code to provision and deploy cloud infrastructure by following an infrastructure as Code methodology;
Assist with troubleshooting applications and systems alongside the development team and involved stakeholders;
Perform database management operations backup, restoration, recovery;
After hours and weekend emergency support on a rotating basis;
Senior level Developer will be responsible for training and mentoring Junior Developers.
What you'll need to succeed:
Up to 2+ years of experience in DevOps or related role;
Experience in at least one major programming language e.g. python, ruby, c++;
A strong understanding of Linux;
Proficiency with revision control software e.g. Git, GitHub, BitBucket;
Computer Science degree or equivalent experience.

We would love to see, but only Senior Level requirements:
Experience with PostgreSQL or similar SQL based DB;
Cloud environment management experience AWS, Azure, or GCE;
Containers and container orchestration tools such as Docker, Kubernetes, Rancher, Mesosphere;
Experience with monitoring tools like Prometheus & Grafana;
Experience working with a central logging stack such as EFK;
Deployment and configuration management tools such as Chef, Terraform, and Jenkins;
Experience deploying software using CI/CD;
Experience running systems in highly available environments.

What would be awesome:
Familiar with Python, Ruby, NodeJS and Java;
Experience with message brokers such as RabbitMQ and Kafka;
Experience with Non-SQL data stores such as Elasticsearch, Cassandra, and Accumulo;
Experience with web tools/frameworks such as Django & React
Comfortable working in both a team environment as well as willing to work independently on assigned tasks;
A curious mind and strong troubleshooting skills.

What you'll get:
Flexible working hours;
Competitive compensation;
Extensive benefits package;
Employer matched DPSP retirement plan;
Enterprise level experience with complex systems and technically challenging work.",No sponsored
Software Developer,"Saskatoon, SK",Vendasta Technologies,None,"Developers at Vendasta work in teams, working with Product Managers and Designers, to ideate, build, test, deploy, and manage operations of new features and products. Having many teams allows developers to self manage onto the team that suit them best in terms of co-workers and work. Our Research and Development department works hard to help developers learn, grow, and experiment while at work, offering events like in-house Hackathons during regular hours. We have a culture that gives all developers opportunities to learn from and teach other developers.

The ideal candidate will demonstrate that they are bright and can tackle tough problems, while being able to communicate their solution to others. They are creative and can mix technology with the customer’s problems to find the right solution. Lastly, they are driven and will motivate themselves and others to get things done.

Responsibilities
Develop software in teams of 3-5 developers. with the ability to take on tasks from the team and independently work on them to completion
Follow best practices to write clean, maintainable, scalable, and tested software
Work collaboratively and iteratively with Product Managers to design solutions that help our Partners connect digital solutions to small and medium sized businesses
Continuous drive to learn and improve your own technical skills
Bias for action, while dealing well with ambiguity
Skills & Qualifications – Junior Level
Bachelor’s degree in Software Engineering or Computer Science, SaskPoly Computer Systems Technology Diploma, or related technical degree
Ability to demonstrate software project you have contributed to, or review code you have written
Strong understanding with high scalability, data intensive, distributed Internet applications
Proficiency in modern software language, and willingness to quickly learn our technology stack
Skills & Qualifications – Intermediate Level
2+ years experience in a related field
Bachelor’s degree in Software Engineering or Computer Science, SaskPoly Computer Systems Technology Diploma, or related technical degree—or 3+ years experience in a related field
Experience or strong understanding with high scalability, data intensive, distributed Internet applications
Proficiency in modern software language, and willingness to quickly learn our technology stack
Technologies We Use:
Google Cloud Platform * BigQuery, Cloud Dataflow, Cloud Pub/Sub, Google Data Studio, Cloud IAM, Cloud Storage, Cloud SQL, Cloud Spanner, Cloud Datastore, Google Maps Platform, Cloud Endpoints, Stackdriver, etc…
Kubernetes
GoLang, Typescript, Python, Javascript, HTML
Angular
Elasticsearch, MySQL, PostgreSQL
GRPC",No sponsored
UX Designer - (Saskatoon) 3419,"Saskatoon, SK",Solvera,None,"About Solvera:
We are a trusted leader in IT-enabled business solutions, delivering innovation and value to every client.
We have achieved high growth through a diverse portfolio of strategic solutions and managed services. Our clients, employees and communities recognize that we are committed to their success.
We have a bold, innovative and fun environment and we love our work. Our small company values have remained steadfast and we are a catalyst for social good.
We deliver a broad range of business and IT consulting services from five western Canadian locations. Service offerings include a combination of consulting services and solution services.
We pride ourselves on our client relationships and people practices and enjoy a very positive reputation as one of Canada’s Best Small and Medium Employers and a Best Managed Company.
If you’ve got a passion for applying your UX expertise and are ready to take your career to the next level, let’s talk.
You’ll have an opportunity to shine and work collaboratively with Solvera’s strong but mighty UX design team across western Canada, helping our clients leverage the power of technology to address their pressing business challenges.
Digital Workplace Service:
We are looking for a full-time, permanent Junior to Intermediate UX Designer to work closely with a Senior/Enterprise Experience Architect, key decision makers, developers, and project managers in planning and designing new applications and improving and streamlining existing applications. You will be expected to plan the overall functionality of client products, conduct user testing and iterate based on feedback.
Responsibilities:
Conduct user research and gather requirements in conjunction with a senior/enterprise experience architect or project manager
Create clickable wireframes showcasing intuitive layouts and efficient user flows
Plan, conduct, and document usability testing using wireframes or developed prototypes, both in person and remotely
Rapidly iterate based on user feedback and testing results
Collaborate with developers to ensure technical feasibility
Maintain pre-existing style guides
Design engaging user interface mockups based on existing style guides and validated wireframes
Provide development team with any needed design assets
Desired Experience and Skills:
2–4 years of experience in a UX capacity and a related post-secondary degree
Strong ability to understand business requirements and work within technical limitations
Understanding of good design practices and methodology
Strong client orientation
Excellent communication skills and creativity
Ability to simplify the complex
Ability to work independently from high level direction
Visual design skills (asset only)
To help demonstrate your skills and experience, a portfolio of past work is required
Location Requirements:
Saskatoon is the preferred location for this role, although other locations may be considered. Solvera operates throughout western Canada, so there is an understanding that some travel may be expected.
Career Growth and Consulting Delivery:
Solvera’s consultants are assisted in their career growth by an assigned Client Executive, who fulfilles the dual role of supporting team members on consulting assignments and guiding the person’s longer term performance achievement and career growth.
Solvera’s well-developed service structure connects all employees with their peers in the same discipline for knowledge-building and sharing, consulting competency development, professional development opportunities and team socializing.
Total Rewards
Solvera offers competitive base and variable pay, a highly rated and comprehensive benefits program and an outstanding organizational culture.",No sponsored
