Title,Location,Company,Salary,Description,Sponsored
UI/UX Engineer,"Saskatoon, SK",Bourgault Industries,None,"Bourgault Industries is a leading global manufacturer of technologically advanced seeding and tillage equipment. Our mission is to design, manufacture and distribute the highest quality, most durable and reliable farm equipment in the world that is affordable and meets or exceeds the expectations of our most demanding customers.
We are looking for a talented UI/UX Engineer to join the automation team in Saskatoon, SK. In this role, you will be a core contributor to the architecture and implementation of our front-end/GUI products. The ideal candidate is self-motivated, self-directed, conceptual, passionate about user-oriented design, and welcomes technical challenges.
Responsibilities:
Design and develop graphical user interfaces for mobile and desktop applications
Ensure usability and technical feasibility of UI/UX designs
Analyze and conceptualize new UI/UX products
Integrate and test UI with electronic sensors and control systems
Communicate with other teams (purchasing, manufacturing, service, etc.) for new product integration.
Communicate with dealers and customers for feedback and input on product.
Occasional travel to main production facility in St. Brieux.
Occasional travel to various test locations.
Qualifications:
Degree in Software Engineering, Computer Science or related field, with applicable background
4+ years of proven work experience on desktop and mobile applications
2+ years working with an IOT cloud service such as Azure IoT
Experience with cross platform UI development frameworks such as Xamarin or Qt
Capable of assembling user-oriented UX designs and implementing them as functional UI
Strong software development skills (C#, Java, Objective-C, Javascript, C/C++, Python)
Ability to independently develop software development plans, including timelines and test procedures
Understanding of software architecture and lifecycle
Strong organizational skills and an ability work independently or within a team
Effective interpersonal and communication skills
Ability to think critically and analytically
Enjoy getting your hands dirty and work in an environment that supports being self-directed!
Bonus Qualifications:
Knowledge and passion for the agricultural industry
Familiar with hydraulic control, electric motor control and displays
Embedded software development experience
Experience with GUI-based instrumentation panels
Bourgault Industries offers competitive, performance-based salaries, company-wide profit sharing, health & dental benefits, a company-matching RRSP plan, and more! At Bourgault Industries, we recognize the importance of our team members and their personal and career development.
If you’re looking to make a difference with a company that values your hard work and innovation, apply now!
Please Note: all applications must be submitted on our website (www.bourgault.com). Thank you!
Job Type: Full-time
Experience:
desktop and mobile app: 4 years (Preferred)
IOT cloud: 2 years (Preferred)
Education:
Bachelor's Degree (Required)",Sponsored
Test Engineer,"Saskatoon, SK",Vecima,None,"Vecima is seeking a talented Test Engineer to create next-generation data-over-cable (DOCSIS) and digital video products. The successful candidate will contribute to the design and development of Vecima’s products as part of an industry-leading team of innovative and passionate technology leaders in the areas of test planning, developing test environments and methods, executing tests and communicating observations. Typical work involves prototype hardware and software testing, debugging, and analyzing results, architecting/designing test environments, etc.
This position is located in our Saskatoon, SK office. Occasional international travel may be necessary.
Duties and Responsibilities:
Contribute expertise to development teams from a test perspective (e.g. influence testability, deliver test plans/procedures/solutions, analyze and report results, etc.)
Improve products by actively giving feedback about prototype short-comings to the product/development team
Contribute to and/or implement automated testing
Provide input to test environment requirements (applications, video servers, network equipment, test equipment, etc.)
Assist in maintenance and administration of lab equipment
Experience Requirements:
5+ years of experience with hardware/software development teams in the area of test design or test development, including:
Creation of test scenarios/procedures/plans
Test automation
Education Requirements:
4 year Bachelor’s degree, or 2 year diploma in a relevant program from a Canadian accredited institution or equivalent
Various educational backgrounds will be considered but preference will be given to those with a science or engineering background in Computers, Software, or Electronics
The successful applicant will have many of the following skills and abilities:
Experienced with Continuous Integration / Development and Test Management tools
Is highly adept at using test tools, and adapting test environments to make repeatable and accurate measurements
Understands and makes well-reasoned test implementation decisions and trade-offs in their area
Able to develop test plans / procedures with thorough consideration of factors necessary to deliver high quality products
Communicates effectively across functions; is able to work well with other engineering and development disciplines including systems, hardware, infrastructure, software, etc.
Demonstrated expertise and self-sufficiency in RF test and measurement, video systems and measurement, network interfaces and troubleshooting tools, or test automation software tools and languages. Able to systematically troubleshoot/debug issues in these areas
Able to own the technical design of medium complexity test environments and test plans through to completion
Able to promote test direction within an agile environment, providing technical feedback to developers, during and prior to accepting tasks
Working knowledge of IP-based networks including basic administration and network troubleshooting
Working knowledge with software development tools and version control software
Able to develop Bash and Python scripts to control/configure products in a Linux environment
Core Competencies:
Demonstrated commitment to continuous professional development and learning
Excellent verbal and written communication skills
Demonstrated ability to work effectively under pressure
Strong attention to detail, drive, initiative, productivity, teamwork and quality
Influences project or agile team direction based on knowledge and experience
Attention to detail, initiative, productivity, teamwork and quality work are necessary to be successful within Vecima’s R&D culture
Vecima has a competitive compensation and benefits package, and strives to provide a challenging work environment that can foster skill development and personal career growth for all employees.
We consider applicants for all positions without regard to race, color, religion, creed, gender, national origin, age, disability, marital or veteran status, or any other legally protected status.
If you are looking for a challenging career move as a Test Engineer, we want to hear from you!
About Vecima
Vecima (TSX: VCM) is a globally recognized leader in creating advanced broadband telecommunications products. Our products are shipped around the world and are used by major international companies to deliver Broadband Internet, Digital TV, Video-on-Demand and Telematics services in over 30 countries.
Technological innovation drives Vecima’s success. Vecima’s extensive Research and Development initiatives result in pioneering technology and intellectual property that flows directly into our cutting edge products. We pride ourselves on innovative solutions and our continually expanding library of designs.
Job Type: Full-time
Experience:
test design or test development with hardware and software: 5 years (Required)",Sponsored
Human Resources Data Scientist,Canada,Rio Tinto,None,"2 x newly created Data Scientist opportunities embedded within the HR function
Help to define and manage the development and delivery of HR analytics for Rio Tinto
Role can be based in Montreal or Brisbane
About the role

We are looking for two Human Resources Data Scientists to work within the HR function focusing on working with People data, while working closely with the data science community of excellence in developing the Data Science specialisation within Rio Tinto.

This role is a great opportunity for a collaborative, analytical and value-driven Data Scientist who is passionate about constantly learning new skills and understanding emerging technology. Reporting to the GM BI and Technology, you will be:

Providing expertise on statistical, mathematical, and machine learning concepts, conducting research and design, and implementing and validating cutting-edge algorithms and predictive statistical models
Performing exploratory analysis of data sets to develop and refine preliminary hypothesis.
Utilising statistics and introductory machine learning methods to identify key data features and engineering data pipelines from source systems to predictive models.
Providing training and knowledge transfer to support the deployment and continuity of the analytics products developed.
Ensuing best in class processes and techniques to develop and deploy data analytics solutions to the business.
Fostering n innovative and “disruptive” technology culture to identify and drive value creating opportunities.
About you

To be successfully considered for this role, you will have:
Post Graduate qualifications in mathematics, statistics, computer science or behavioural sciences supported by a strong technical background and coding skills in R and/or Python.
Experience in implementing data science projects using Human Resources or Social Sciences data, including familiarity with machine learning libraries, and frameworks (eg. Sci-kit Learn, H2O, TensorFlow).
An analytical, problem solving approach and able to challenge, coach and support / drive change.

It will also be beneficial if you have:
Experience in software engineering, Cloud (e.g. AWS and/or Azure) and in massive parallel processing architectures, inclusive of the use Hadoop and/or Spark.
Where you will be working

People Analytics define and manage the development and delivery of HR analytics and insights to HR and line management on people matters. Focusing on measuring and managing workforce supply and demand using business analytics to make optimal talent investments to meet the business strategy and mitigate against identified risks.

About us

As pioneers in mining and metals, we produce materials essential to human progress.

Our long history is filled with firsts. We’ve developed some of the world’s largest and best quality mines and operations, and our people work in around 35 countries across six continents. Aluminium and copper, diamonds, gold and industrial minerals, iron ore and uranium: our materials make up the world around us. You’ll find them in smartphones, planes, cars, hospitals and throughout your home.

Creating an inclusive and diverse workforce

We are a diverse team of talented, enthusiastic individuals who foster a culture of inclusion. No matter how they may differ, our people share one thing in common. It’s a belief that work is more rewarding when we are accepted and valued for our differences, not judged by them. We all have something to contribute, and it’s this contribution that makes for a great organization and fulfilling career.

Apply today if you want to work with the latest technology and innovation, in an environment where we challenge you to drive positive change.

Please note, in order to be successfully considered for this role you must complete all pre-screening questions.

______________________________________________________________________________

Scientifique des données, Ressources humaines

Deux occasions nouvellement créées pour des scientifiques des données, qui sont intégrées à la fonction des Ressources humaines
Aidez à définir et à gérer l’élaboration et la prestation de l’analyse des données des RH pour Rio Tinto
Le titulaire peut être en poste à Montréal ou à Brisbane
À propos du poste

Nous sommes à la recherche de deux scientifiques des données, Ressources humaines pour œuvrer au sein de la fonction des RH. Un travail qui sera axé sur les données relatives aux personnes, tout en travaillant en étroite collaboration avec la communauté d’excellence de la science des données afin de développer la spécialisation de la science des données au sein de Rio Tinto.

Ce poste représente une excellente occasion pour un scientifique des données axé sur la collaboration, l’analyse et les valeurs qui est passionné par l’apprentissage constant de nouvelles compétences et la compréhension de la technologie émergente. Le titulaire relèvera du DG, RC et Technologie, et devra s’acquitter des fonctions suivantes :

Offrir de l’expertise en matière de concepts statistiques, mathématiques et d’apprentissage automatique, réaliser de la recherche et de la conception et aussi, mettre en œuvre et valider des algorithmes de pointe et des modèles de prévision statistiques.
Effectuer une analyse exploratoire des ensembles de données afin d’élaborer et de parfaire des hypothèses préliminaires.
Utiliser les méthodes statistiques et d’introduction en apprentissage automatique pour établir les principales caractéristiques des données et pour organiser des flux de données allant des systèmes sources aux modèles de prévision.
Offrir de la formation et assurer le transfert des connaissances afin de soutenir le déploiement et la continuité des produits d’analytique élaborés.
Veiller à utiliser les meilleurs processus et techniques pour élaborer et déployer des solutions d’analyse des données pour l’entreprise.
Promouvoir une culture technologique novatrice et « perturbatrice » pour recenser et créer des occasions de création de valeur.
À propos de vous

Pour que votre candidature soit considérée pour ce poste, vous devez posséder les compétences et l’expérience suivantes :

Avoir réussi des études universitaires supérieures en mathématiques, statistiques, informatique ou science du comportement, accompagnées de solides antécédents techniques et compétences en codage R ou Python.
Avoir de l’expérience dans la mise en œuvre de projets en science des données à l’aide de données des ressources humaines ou des sciences sociales, dont une connaissance des bibliothèques et structures d’apprentissage automatique (p. ex. Sci-kit Learn, H2O, TensorFlow).
Avoir une approche analytique, axée sur la résolution de problèmes et être en mesure de mettre les gens au défi, de les guider et de soutenir/favoriser le changement.

Atouts :
Expérience en génie logiciel, en infonuagique (p. ex. AWS ou Azure) et en architecture de traitement massivement parallèle, dont l’utilisation de Hadoop ou Spark.
Quel sera votre lieu de travail?

L’analyse des personnes définit et gère l’élaboration et la prestation de l’analyse des données des RH et permet aux RH et aux cadres hiérarchiques de mieux comprendre les questions humaines. Le travail sera axé sur la mesure et la gestion de l’offre et la demande de main-d’œuvre à l’aide de l’analyse de l’entreprise pour obtenir un investissement optimal en matière de talents afin de respecter la stratégie de l’entreprise et d’atténuer les risques identifiés.

À propos de nous

Pionniers des mines et des métaux, nous produisons des matières essentielles au progrès humain.

Notre longue histoire est jalonnée de premières. Nous avons développé certaines des mines et des exploitations les plus vastes et de la meilleure qualité au monde, et nos employés travaillent dans quelque 35 pays, sur six continents. Aluminium, cuivre, diamants, or, minéraux industriels, minerai de fer et uranium : nos matières façonnent le monde qui nous entoure. On les retrouve partout, que ce soit dans les téléphones intelligents, les avions, les voitures, les hôpitaux et un peu partout dans votre maison.

Créer un effectif inclusif et diversifié

Nous sommes une équipe diversifiée de personnes talentueuses et enthousiastes qui favorisent une culture de l’inclusion. Quelles que soient leurs différences, nos employés ont tous un point en commun : ils croient que le travail est plus gratifiant lorsque nous nous sentons acceptés et valorisés pour nos différences, sans être jugés. Nous pouvons tous faire une contribution, et c’est ce qui rend notre entreprise formidable, et notre carrière, enrichissante.

Posez votre candidature dès aujourd’hui si vous souhaitez travailler avec les plus récentes technologies et innovations, dans un environnement où nous vous mettons au défi d’apporter des changements positifs.

Veuillez prendre note que vous devez respecter tous les critères de sélection préliminaire pour que votre candidature soit retenue.",Sponsored
"Developer (Java, Typescript or Python)","Regina, SK",TES - The Employment Solution,None,"Job Location: Regina, SK

Key Skills/Requirements:
We are seeking an experienced developer to create, enhance and maintain a DevOps environment and support other IT product teams by building pipelines and operating DVCS, develop Infrastructure as Code using tools like bash, Ansible, Docker and AWS CloudFormation. Experience in the skills below will be an asset.
Strong software development background, preferably with any of Java, Typescript or Python
Experience with Linux and command line tools
Knowledge of security and encryption
Experience with configuration management tools, such as Ansible, Puppet or Chef
Experience with CI systems, such as Jenkins
Experience with containerization technology, such as Docker or Kubernetes
Experience with infrastructure-as-code technologies such as AWS CloudFormation, Terraform or Troposphere
Experience with any AWS cloud native technology would be considered an asset

To apply send resume to daniellep@tes.net",Sponsored
Eye Tracking Data Analysis Software Developer,Canada,SR Research Ltd.,"$100,000 a year","Job Description
SR Research Ltd. is currently looking for an outstanding Software Developer with a strong command of Java, C/C++, and Machine Learning Algorithms to help develop new features of our existing data analysis products and to work on future products. The ideal candidate will have exceptional problem-solving abilities and a strong understanding of relevant protocols and user interface designs. The successful candidate will have the chance to participate in the entire life cycle of a range of eye tracking data analysis products, from design through implementation to launch.
The successful candidate will:
· Evaluate existing analysis approaches to eye tracking data across a range of academic disciplines
· Develop advanced eye movement data analysis algorithms for a range of eye tracking research and clinical applications
· Drive both high-level and detailed technical design documents and conduct design reviews
· Provide feedback on architectural and implementation enhancements
· Participate actively in team and company-wide architecture discussions
· Employ technical expertise to help team members overcome technical problems
· Implement new features to existing software applications using Java, C/C++, Python, and other frameworks.
· Work with software developers to improve stimulus presentation software
Job Requirements
SR Research provides a fun, open, social environment in which staff are given a high degree of autonomy. You must thrive in a fast-moving company and be able to adapt to change quickly. The successful applicant should possess the following qualifications:
· A Masters or PhD degree in computer science or related technical fields.
· At least 5 years experience with EyeLink eye trackers
· Research experience in the fields of Cognitive Psychology, Computer/Information Science
· Experience implementing Machine learning / Deep Learning algorithms for data analysis
· Experience with inferential statistics and analyzing large datasets of eye movement data.
· Experience with Experiment Builder and Python stimulus presentation software packages.
· Ability to self-organize and work effectively within a small team with minimal supervision
· Expert level Java, C/C++ skills are required, with demonstrated ability to solve complex problems
· Strong verbal and written communication skills are required due to the dynamic nature of team discussions
This full-time, permanent position (40 hours per week) is located at 35 Beaufort Drive, Ottawa, Ontario, Canada K2L 2B9. English is the work language.
Salary $100,000 /year, including a comprehensive benefits package (LTD benefit, dental care, vision care, prescription medication, and group insurance benefit).
Please send a cover letter and resume to jobs (at) sr-research.com if you believe you possess the above qualifications and are interested in this position.
Job Type: Full-time
Salary: $100,000.00 /year
Experience:
Computer Programming: 5 years (Required)
EyeLink eye tracking: 5 years (Required)
in the fields of Cognitive Psychology research: 5 years (Required)
Education:
Master's Degree (Required)
Language:
English (Required)",Sponsored
Python Developer,"Regina, SK",Wipro Technologies Ltd,None,"Duration:
Contract and/or Full-time
Job Description:
Primary Skill Set:
Experience in developing and deploying REST APIs using
Python, Flask and Containers * Experience in designing and delivering Data Platform services in Azure
Secondary Skill set in the order of:
Experience in automating deployments using
Azure DevOps,
Azure Resource Manager and
Azure PowerShell * Experience in developing and deploying the following Azure technologies
Data Lake Storage Gen2
Storage Accounts
SQL Server
Key Vault * Ideal candidate has experience in the following open source automation technologies: Terraform
Other Skills:
Ability to review architecture and designs based on the Azure services.
Ability to lead technical discussions on Azure Data Platform services.
Ability to move between high level architectural review/design and the detail of how the relevant services can be configured/used in Azure.
Problem-solving mentality leveraging internal and/or external resources
Exceptional verbal and written communication
Presentation skills with a high degree of comfort with both large and small audiences
Deliver projects through the SDLC cycle into production.
Job Type: Contract
Experience:",No sponsored
"Software Developer (Python, Linux, Git)","Saskatoon, SK",Mentor Graphics,None,"We are looking for talented software developers (Python) to join our technical team at the Saskatoon research & development site of Mentor, A Siemens Business. We develop leading-edge chip design software that is used by some of the world’s largest technology companies.
At Mentor, we develop custom software to solve problems in circuit verification, design automation, and other specialized fields within the semiconductor industry. Solutions are found through approaches such as machine learning, statistical analysis, and advanced (and patented!) techniques. You will be working at the cutting-edge of software development with industry-leading customers at one of the largest companies in the world.
This position is located in brand-new and state-of-the-art offices at Innovation Place in Saskatoon, SK, Canada.

Job Duties:
Use Python to develop software that addresses some of the world’s most challenging problems.
Work with our top-notch technical team, here in Saskatoon and around the world, to ensure our leading electronic design automation software products evolve to meet the changing expectations of our customers.
Collaborate directly with technology experts at major semiconductor companies to define, develop, and deliver new products and product features.

Job Qualifications:
Demonstrated ability to effectively develop high-quality software in a collaborative environment.
Demonstrated expertise in some or all of the following: Python, Linux, testing, source control (Git), algorithms, debugging, profiling, GUI design (Qt)
Excellent communication skills (both written and verbal) demonstrated through software documentation (commit messages, docstrings, etc), collecting customer requirements, and communicating with team members.
A team player; an ability to provide and be receptive of constructive feedback (through code reviews, design iteration, verification process) and to provide mentorship to junior developers.
Customer-focused; ability to prioritize tasks based on customer experience and ROI.
Willingness to learn and interested in new challenges.
Nice-to-have expertise: C++, statistics (Monte Carlo analysis), test automation, transistor-level circuit design, EDA CAD tools, SQL, and release management.

Back Share
Apply Now",No sponsored
Data Developer,"Saskatoon, SK",Vendasta Technologies,None,"As a Technical BI Analyst at Vendasta, you will focus on reporting and analyzing the key metrics that drive the business. You will leverage the interdepartmental analyst group to review, develop, and share information or analyses. In addition, the successful candidate will be an advocate for adding metrics and enhancements to our platform. This would include, writing proposals, interacting with development teams, and pushing for prioritization of these projects. To that end, the candidate would need to have good communication skills and the ability to discuss with product managers and software developers about the value of said projects.

Responsibilities
Respond to ad hoc requests from various stakeholders
Build, maintain & monitor internal dashboards for each department to track productivity, revenue, quality, staffing patterns, expenses, efficiency metrics and more
Design internal tools to automate retrieving & displaying data
Review and critique other’s analysis
Develop and foster a working relationship with analysts, software developers, product managers, sales, marketing, and executive
Write proposals for software implementation
Skills & Qualifications
Education in Computer Science or similar discipline
Experience with databases and various querying techniques (SQL, NoSQL, API)
Ability to write software code (languages like Python, R, etc)
Well developed communication and presentation skills
Articulate, analytical and a team player who understands the power of data
Comfortable working independently
Proven ability to analyze and report information
Experience working in the software industry
Knowledge of modeling & machine learning
Experience handling large datasets
Ability to write ETL pipelines
Ability to simplify and visualize complex data",No sponsored
Intermediate GIS Analyst (All EDI locations considered),"Saskatoon, SK",EDI Environmental Dynamics Inc.,None,"Intermediate GIS Analyst (All EDI locations considered)
Since we started EDI 25 years ago, we’ve hired extraordinary people – people who’ve helped EDI thrive. We’ve worked together to see team members achieve their goals, flourish in their careers, and be a part of something special. EDI is not just a company, we are their company.
Our benefits include: a challenging, engaging and rewarding work experience, competitive wages and vacation time, comprehensive benefits package, quarterly profit sharing and bonuses, paid personal days, employee ownership program and overtime pay with option to bank hours.
The successful candidate will be involved with a diverse range of GIS, data, and analysis tasks across a spectrum of environmental disciplines (wildlife, vegetation ecology, water, and fisheries). This position offers and opportunity to work with a committed team of environmental professionals to support effective resource management using science-based approaches. They will be part of a team that includes mutual mentorship and professional growth.
Our ideal candidate will hold the following education and experience:
A minimum of 2 years’ experience related to environmental sciences.
Post-secondary degree in GIS, or advanced diploma in GIS from a technical school, with an environmental sciences focus.
Experience with ESRI ArcGIS software is essential. Experience with Python scripting, model builder, and other GIS and analytical tools and software, including R and landscape modelling tools (e.g. Marxan, SELES, LABDIS), is an asset.
Desirable experience or aptitudes include the following:
Strong problem-solving skills and motivation for self-learning to support your ability to conduct diverse geospatial analyses.
Experience working with a range of environmental data (e.g. forest cover, remote sensing, imagery, DEMs, LiDAR, human disturbance mapping, hydrology, wildlife data).
Expertise conducting a range of GIS analyses related to environmental disciplines (e.g. wildlife habitat model implementation, least cost path analyses, DEM models, LiDAR analyses, remote sensing analyses, hydrological analyses).
Previous experience with Environmental Assessments is an asset, but not required.
Strong cartographic skills.
Ability to work independently and as part of a team.
Good time management skills in order to work on multiple projects and meet deadlines.
Previous consulting experience is an asset.
Interest in mentorship and life-long learning.
If you are ready for new challenges and a rewarding career experience, please email your resume in confidence by October 15, 2019 with EDI1015 in the subject line. Please indicate which office location you are applying to in your cover letter.
Applicants will be considered as their resumes are received and may be requested for an interview prior to the closing date. Only candidates requested for personal interviews will be contacted.
Job Type: Full-time",No sponsored
Senior Python Software Developer,"Saskatoon, SK",Farmers Edge,None,"Match your skills to a career where you're not just doing a job; you're making an impact every single day.
At Farmers Edge, we're addressing the global challenge of feeding the world's growing population while reducing environmental impact. We're a diverse group of thinkers and doers, motivated by challenges, curiosity and bold ideas. Our culture is the foundation of our company, connecting innovation and disruption with the passion that drives us. From the software and digital tools that we create to the conversations we share; the collective force of our team is influencing revolutionary changes in agriculture to bring new levels of sustainability and opportunity to farmers and agricultural professionals.
Rapidly expanding worldwide, we're focused on creating a diverse environment of talented individuals. Working with high-quality data sets, cloud connectivity, AI-driven algorithms and predictive models across web, mobile and app platforms, we offer a range of roles in multiple locations where you can build impactful, data-driven experiences and feel empowered to make a difference.
Join us to work with a company whose team is as innovative as its products. Together, we can make the impossible, possible.
Senior Python Software Developer Imagery Services

Offices in Winnipeg, MB Corporate Office, Lethbridge, AB, and Omaha, NE. Remote location will be considered.
Number of Positions: 2

Reporting to the Imagery Services Manager, as the Senior Python Software Developer you will be responsible for designing, creating, and curating the software for new and existing services.
Our talented Imagery Services team is growing to support new and existing geospatial initiatives. The team is responsible for the development and maintenance of scalable and reliable processing chains that provide big data ingest and analysis from multiple geospatial sources.
What you'll be doing:
Create and productionize scalable data streaming pipelines;
Participate in daily planning activities such as Scrum meetings;
Develop and document tasks;
Perform code reviews;
Document internal and external source code;
Automatic and manual testing
Back end programming following software development life cycle;
Troubleshoot deployed applications;
Collaborate with the Web Services, Machine Learning, User Interface, Geospatial, Research and Development, Web services, Quality Assurance and other teams;
Other duties as assigned.

Experience you'll need to succeed:
Education in Computer Science with a focus on programming Diploma, Degree, or Graduate studies;
3+ years of Python development;
Agile / Scrum / SDLC methodologies;
Revision control software e.g. Git.
Geospatial analytics and mapping tools Geotrellis, GDAL,QGIS, and Geoserver;
Development and deployment in cloud environments Azure, AWS, or Google Cloud;
Familiarity with Containerization Docker and Kubernetes.
We would love to see:
Experience with Big Data technologies Kafka, Elasticsearch, and Spark
Agriculture knowledge;
Healthy pride of ownership in your work;
A curious mind and strong initiative to take on independent learning;
Strong communication and documentation skills;
Experience working remotely on a dispersed team.
What you'll get:
Competitive compensation;
Employer matched retirement plan;
Extensive Benefits package;
Employer work perks program;
The opportunity to expand your skill set while making impactful contributions to cutting-edge products.",No sponsored
